tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
569671000486502400,positive,0.6368,,,Delta,,WyattTweets,,0,@JetBlue Thank you. Fingers crossed.,,2015-02-22 17:32:05 -0800,New York,Eastern Time (US & Canada)
569670844047192064,negative,0.6724,Cancelled Flight,0.3492,Delta,,joshmirm,,0,".@JetBlue ooookay @ABC that's silly of you. guess we're ""watching"" the oscars purely on Twitter reactions tonight. #oscars",,2015-02-22 17:31:27 -0800,Brooklyn,Central Time (US & Canada)
569670407709544448,negative,0.6669,Can't Tell,0.3735,Delta,,coolman13355,,0,@JetBlue I've heard your new in flight tap to pay readers accept ONLY Apple Pay. I thought that was impossible &amp; certainly not EMV compliant,,2015-02-22 17:29:43 -0800,Texas,Central Time (US & Canada)
569670228713578496,neutral,0.6462,,,Delta,,nooshies,,0,@JetBlue you're taking me to New Orleans in two weeks so I'll picture that while I shiver #forevercold,,2015-02-22 17:29:01 -0800,"Boston, MA",Eastern Time (US & Canada)
569669991450185728,neutral,0.6926,,,Delta,,dhp214,,0,@JetBlue We're flight 1472 FFL to LGA. Scheduled departure 8:15p.,,2015-02-22 17:28:04 -0800,New York,Eastern Time (US & Canada)
569669129130647552,negative,1.0,Late Flight,1.0,Delta,,paulinceptor,,0,"@JetBlue 2nd time in a row a flight out of jfk a disaster. Last time I wasn't allowed to fly stndby, now a 2 hour delay w/out notification",,2015-02-22 17:24:38 -0800,,Eastern Time (US & Canada)
569669059941261312,negative,1.0,longlines,0.6695,Delta,,AristidesPN,,0,@JetBlue oh right! Me and hundred people arrived back to the same gate we left minutes ago in SDQ http://t.co/7gB0hgW51t,,2015-02-22 17:24:22 -0800,"ÜT: 18.463449,-70.003608",Quito
569668818253053952,negative,1.0,Late Flight,1.0,Delta,,dhp214,,0,@JetBlue. A bunch of flights are delayed from FFL to Northeast destinations. No announcements at the gate. What's going on?,,2015-02-22 17:23:24 -0800,New York,Eastern Time (US & Canada)
569668536966053888,negative,1.0,longlines,0.3444,Delta,,SaulFernandezS,,0,@jetblue I'm dissapointed in the way paseengers on flight 0510 in Santo Domingo have been treated. 9hrs to board the plane and no info given,,2015-02-22 17:22:17 -0800,,Santiago
569668144198848514,neutral,1.0,,,Delta,,shannonwoodward,,3,@JetBlue id appreciate that. Would also you mind contacting the pilot of my flight and request that I be allowed to announce over intercom?,,2015-02-22 17:20:44 -0800,"Los Angeles, CA",Arizona
569667821455708160,neutral,0.6442,,0.0,Delta,,JetBlue,,1,"@shannonwoodward If you want, we can keep you updated on who's wearing who, &amp; who's with who, &amp; who wins what. We're nice like that. ;)",,2015-02-22 17:19:27 -0800,1-800-JETBLUE,Eastern Time (US & Canada)
569667688743763968,negative,1.0,Lost Luggage,1.0,Delta,,TomNaro,,0,@JetBlue  I did.  They have no idea where it is.,,2015-02-22 17:18:55 -0800,,
569666892882952192,negative,1.0,Can't Tell,0.3724,Delta,,Penguins_66,,0,@JetBlue thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??,,2015-02-22 17:15:45 -0800,,Central Time (US & Canada)
569666838340210689,negative,1.0,Lost Luggage,1.0,Delta,,TomNaro,,0,"@JetBlue hey JetBlue.  Still waiting to hear where you lost my 9'8"" surfboard between JFK and BQN airports.",,2015-02-22 17:15:32 -0800,,
569666455114903552,negative,0.3505,Can't Tell,0.3505,Delta,,shannonwoodward,,0,@JetBlue your gif game is strong.,,2015-02-22 17:14:01 -0800,"Los Angeles, CA",Arizona
569666011147821057,negative,1.0,Can't Tell,0.3704,Delta,,AristidesPN,,0,@JetBlue well but for now the only thng we can do is wait for someone to explain us the situation with responsibility http://t.co/ML1JaCpmch,,2015-02-22 17:12:15 -0800,"ÜT: 18.463449,-70.003608",Quito
569665766628286464,negative,1.0,Late Flight,1.0,Delta,,twofishtacos,,0,@JetBlue flight 98 DEN to JFK already 2hrs delayed. Any idea how that might change again due to weather forecast etc?,,2015-02-22 17:11:17 -0800,New York City,Eastern Time (US & Canada)
569665692770967552,negative,0.6947,Customer Service Issue,0.6947,Delta,,Penguins_66,,0,@JetBlue Why close prechk at 8PM on a Sunday at JFK?  #annoying,,2015-02-22 17:10:59 -0800,,Central Time (US & Canada)
569664636179476480,negative,1.0,Customer Service Issue,0.6779,Delta,,mariambueno,,0,@JetBlue your crew didn't say it was about safety. If they say that I was glad to stay ... Check the information you give to the costumers,,2015-02-22 17:06:47 -0800,,Quito
569662513111023616,negative,1.0,Can't Tell,0.6891,Delta,,davisesq212,,0,@JetBlue you quite possibly ruined my entire first day in South Florida bc of your disorganization. #GetItTogether,,2015-02-22 16:58:21 -0800,New York City,Eastern Time (US & Canada)
569661069913821184,negative,1.0,Customer Service Issue,1.0,Delta,,aaronkinnari,,0,@JetBlue I'm going to write a post on @Medium about the experience. Your customer service has tanked. #JetBlue,,2015-02-22 16:52:37 -0800,Gotham,Quito
